Como,Quiero,Para
Owner/ usuario,Iniciar sesión con usuario y contraseña,Activar la pregunta secreta
Owner/ usuario,Responder una pregunta secreta en una ventana que aparece luego de ingresar correo y contraseña,Ingresar al dashboard principal de la aplicación
Owner/ usuario,Una animación de bienvenida luego de responder correctamente la pregunta de seguridad,Hacer mas dinamica la primera vista de la página
Owner/ usuario,Un dashboard con un menú desplegable automatico en la parte derecha,Tener organizadas las secciones de la pagina
Owner/ usuario,Un menu en la parte de arriba donde las secciones se van actualizando según las secciones mas visitadas en el menú desplegable derecho,Tener fácil acceso a las secciones mas populares de la pagina
Owner/ usuario,Cada sección en la aplicación tendrá una animación al ingresar a ella,Hacer mas dinamico el cambio entre secciones
Owner/ usuario,"La sección Cronnos mostrara todos los compromisos, actividades y/o pendientes que se tengan",Monitoriar los espacios de tiempo libres y ocupados que hay
Owner/ usuario,"En la sección de Odin habran misiones diarias, semanales y mensuales que al cumplirlas otorguen xp para el nivel del usuario","Incentivar la realización de actividades, compromisos y/o pendientes"
Owner/ usuario,"En la sección Demeter se gestionaran las entradas, salidas, inversiones y patrimonio del usuario",Tener un administrador de patrimonios
Owner/ usuario,Habrá una sección llamada Soberbio donde se gestionará la visita de restaurantes y/o lugares de comida llamados experiencias,Tener trazabilidad y puntuación de lugares visitados 
Owner/ usuario,"Habrá una sección llamada Dionisio donde se Gestionarán los vídeos guardados desde plataformas como TikTok, Facebook e Instagram","Tener control de los lugares deseados a visitar, los artículos deseados a tener, las cosas deseadas aprender, los juegos deseados a tener y las otras categorías que se deriven de los vídeos guardados"
Owner/ usuario,Habrá una sección llamada Apolo donde se gescionará la visualización de películas y su puntuación,Hacer dinamico el proceso de visualización de peliculas
Owner/ usuario,Habrá una sección llamada Alejandria donde se gestionará los libros pendientes por leer y ya leídos ,Llevar un control de lectura realizada y la puntuación de aquellos libros
Owner/ usuario,Habrá una sección llamada Michelin donde se gestionarán las recetas a preparar y ya preparadas ,"Tener una base donde se almacenar las recetas pendientes por realizar, ya realizadas y sugeridas dependiendo de su facilidad y de más aspectos "
Owner/ usuario,Habrá una sección llamada Odyssseia donde se gestionará la visita de lugares de turismo a visitar y ya visitados ,Llevar un control de los viajes pendientes a realizar y ya realizados 
Owner/ usuario,"Habrá una sección llamada Némesis donde se gestionarán los juegos pendientes por terminar, pendientes por jugar, ya terminados y una vez terminados calificados y también pendientes por comprar",Tener una base para llevar el historial de los juegos Pasados Pendientes a jugar y demás 
Owner/ usuario,"Habrá una sección llamada Proeza donde se gestionará el tema musical referente a las exploración y búsqueda de música nueva, también a la escritura de canciones, fechas pendientes de producción y posibles fechas de lanzamiento o de terminación",Tener un control de los temas realizados y pendientes 
Owner/ usuario,Habrá una sección llamada Leonidas donde se gestionarán los ejercicios físicos a realizar en la semana así como llevar el control de los mismos, Crear una forma de control sobre los ejercicios físicos a realizar Y su intensidad semanal y mensual 
Owner/ usuario,"Habrá una sección llamada Prodigy donde se gestionarán los temas de estudios, temas de aprendizaje, títulos a obtener, cursos pendientes, fechas de estudio, fechas de trabajos a presentar y demas temas relacionados a lo académico ","Crear un control de estudios para gestionar horarios para así estar pendientes de los trabajos a realizar y no perder fechas importantes, poder cumplir con todo y adquirir el conocimiento "
